	0
http://biaslens.com/article_0	0
http://biaslens.com/article_1	0
http://biaslens.com/article_2	0
http://biaslens.com/article_3	2
http://biaslens.com/article_4	0
http://biaslens.com/article_5	2
http://biaslens.com/article_6	0
http://biaslens.com/article_7	2
http://biaslens.com/article_8	1
http://biaslens.com/article_9	0
http://biaslens.com/article_10	0
http://biaslens.com/article_11	0
http://biaslens.com/article_12	1
http://biaslens.com/article_13	2
http://biaslens.com/article_14	1
http://biaslens.com/article_15	0
http://biaslens.com/article_16	1
http://biaslens.com/article_17	2
http://biaslens.com/article_18	0
http://biaslens.com/article_19	1
http://biaslens.com/article_20	0
http://biaslens.com/article_21	0
http://biaslens.com/article_22	0
http://biaslens.com/article_23	1
http://biaslens.com/article_24	2
http://biaslens.com/article_25	0
http://biaslens.com/article_26	0
http://biaslens.com/article_27	2
http://biaslens.com/article_28	1
http://biaslens.com/article_29	2
http://biaslens.com/article_30	2
http://biaslens.com/article_31	0
http://biaslens.com/article_32	1
http://biaslens.com/article_33	1
http://biaslens.com/article_34	1
http://biaslens.com/article_35	1
http://biaslens.com/article_36	2
http://biaslens.com/article_37	0
http://biaslens.com/article_38	0
http://biaslens.com/article_39	2
http://biaslens.com/article_40	1
http://biaslens.com/article_41	2
http://biaslens.com/article_42	2
http://biaslens.com/article_43	0
http://biaslens.com/article_44	2
http://biaslens.com/article_45	2
http://biaslens.com/article_46	1
http://biaslens.com/article_47	1
http://biaslens.com/article_48	1
http://biaslens.com/article_49	0
http://biaslens.com/article_50	2
http://biaslens.com/article_51	2
http://biaslens.com/article_52	2
http://biaslens.com/article_53	1
http://biaslens.com/article_54	1
http://biaslens.com/article_55	0
http://biaslens.com/article_56	0
http://biaslens.com/article_57	1
http://biaslens.com/article_58	1
http://biaslens.com/article_59	0
http://biaslens.com/article_60	1
http://biaslens.com/article_61	2
http://biaslens.com/article_62	2
http://biaslens.com/article_63	2
http://biaslens.com/article_64	0
http://biaslens.com/article_65	1
http://biaslens.com/article_66	1
http://biaslens.com/article_67	2
http://biaslens.com/article_68	1
http://biaslens.com/article_69	1
http://biaslens.com/article_70	1
http://biaslens.com/article_71	1
http://biaslens.com/article_72	1
http://biaslens.com/article_73	0
http://biaslens.com/article_74	2
http://biaslens.com/article_75	1
http://biaslens.com/article_76	0
http://biaslens.com/article_77	2
http://biaslens.com/article_78	0
http://biaslens.com/article_79	1
http://biaslens.com/article_80	0
http://biaslens.com/article_81	0
http://biaslens.com/article_82	0
http://biaslens.com/article_83	0
http://biaslens.com/article_84	0
http://biaslens.com/article_85	1
http://biaslens.com/article_86	2
http://biaslens.com/article_87	0
http://biaslens.com/article_88	1
http://biaslens.com/article_89	1
http://biaslens.com/article_90	0
http://biaslens.com/article_91	0
http://biaslens.com/article_92	2
http://biaslens.com/article_93	1
http://biaslens.com/article_94	0
http://biaslens.com/article_95	0
http://biaslens.com/article_96	0
http://biaslens.com/article_97	1
http://biaslens.com/article_98	0
http://biaslens.com/article_99	1
http://biaslens.com/article_100	2
http://biaslens.com/article_101	2
http://biaslens.com/article_102	2
http://biaslens.com/article_103	1
http://biaslens.com/article_104	0
http://biaslens.com/article_105	1
http://biaslens.com/article_106	1
http://biaslens.com/article_107	2
http://biaslens.com/article_108	0
http://biaslens.com/article_109	1
http://biaslens.com/article_110	0
http://biaslens.com/article_111	2
http://biaslens.com/article_112	2
http://biaslens.com/article_113	0
http://biaslens.com/article_114	1
http://biaslens.com/article_115	2
http://biaslens.com/article_116	0
http://biaslens.com/article_117	0
http://biaslens.com/article_118	1
http://biaslens.com/article_119	0
http://biaslens.com/article_120	0
http://biaslens.com/article_121	0
http://biaslens.com/article_122	2
http://biaslens.com/article_123	1
http://biaslens.com/article_124	0
http://biaslens.com/article_125	1
http://biaslens.com/article_126	0
http://biaslens.com/article_127	0
http://biaslens.com/article_128	0
http://biaslens.com/article_129	2
http://biaslens.com/article_130	0
http://biaslens.com/article_131	0
http://biaslens.com/article_132	2
http://biaslens.com/article_133	0
http://biaslens.com/article_134	1
http://biaslens.com/article_135	0
http://biaslens.com/article_136	1
http://biaslens.com/article_137	1
http://biaslens.com/article_138	0
http://biaslens.com/article_139	1
http://biaslens.com/article_140	0
http://biaslens.com/article_141	1
http://biaslens.com/article_142	0
http://biaslens.com/article_143	0
http://biaslens.com/article_144	1
http://biaslens.com/article_145	2
http://biaslens.com/article_146	2
http://biaslens.com/article_147	0
http://biaslens.com/article_148	2
http://biaslens.com/article_149	1
http://biaslens.com/article_150	0
http://biaslens.com/article_151	0
http://biaslens.com/article_152	0
http://biaslens.com/article_153	2
http://biaslens.com/article_154	0
http://biaslens.com/article_155	0
http://biaslens.com/article_156	2
http://biaslens.com/article_157	2
http://biaslens.com/article_158	1
http://biaslens.com/article_159	1
http://biaslens.com/article_160	2
http://biaslens.com/article_161	2
http://biaslens.com/article_162	1
http://biaslens.com/article_163	0
http://biaslens.com/article_164	2
http://biaslens.com/article_165	2
http://biaslens.com/article_166	0
http://biaslens.com/article_167	1
http://biaslens.com/article_168	0
http://biaslens.com/article_169	2
http://biaslens.com/article_170	2
http://biaslens.com/article_171	1
http://biaslens.com/article_172	0
http://biaslens.com/article_173	2
http://biaslens.com/article_174	0
http://biaslens.com/article_175	0
http://biaslens.com/article_176	1
http://biaslens.com/article_177	1
http://biaslens.com/article_178	0
http://biaslens.com/article_179	0
http://biaslens.com/article_180	1
http://biaslens.com/article_181	1
http://biaslens.com/article_182	0
http://biaslens.com/article_183	0
http://biaslens.com/article_184	0
http://biaslens.com/article_185	1
http://biaslens.com/article_186	2
http://biaslens.com/article_187	2
http://biaslens.com/article_188	2
http://biaslens.com/article_189	2
http://biaslens.com/article_190	0
http://biaslens.com/article_191	2
http://biaslens.com/article_192	2
http://biaslens.com/article_193	2
http://biaslens.com/article_194	1
http://biaslens.com/article_195	0
http://biaslens.com/article_196	2
http://biaslens.com/article_197	1
http://biaslens.com/article_198	2
http://biaslens.com/article_199	1
http://biaslens.com/article_200	0
http://biaslens.com/article_201	0
http://biaslens.com/article_202	0
http://biaslens.com/article_203	0
http://biaslens.com/article_204	1
http://biaslens.com/article_205	0
http://biaslens.com/article_206	2
http://biaslens.com/article_207	2
http://biaslens.com/article_208	1
http://biaslens.com/article_209	2
http://biaslens.com/article_210	1
http://biaslens.com/article_211	0
http://biaslens.com/article_212	1
http://biaslens.com/article_213	2
http://biaslens.com/article_214	2
http://biaslens.com/article_215	0
http://biaslens.com/article_216	1
http://biaslens.com/article_217	1
http://biaslens.com/article_218	0
http://biaslens.com/article_219	0
http://biaslens.com/article_220	0
http://biaslens.com/article_221	0
http://biaslens.com/article_222	2
http://biaslens.com/article_223	0
http://biaslens.com/article_224	2
http://biaslens.com/article_225	1
http://biaslens.com/article_226	0
http://biaslens.com/article_227	1
http://biaslens.com/article_228	0
http://biaslens.com/article_229	2
http://biaslens.com/article_230	0
http://biaslens.com/article_231	0
http://biaslens.com/article_232	0
http://biaslens.com/article_233	0
http://biaslens.com/article_234	2
http://biaslens.com/article_235	0
http://biaslens.com/article_236	2
http://biaslens.com/article_237	0
http://biaslens.com/article_238	0
http://biaslens.com/article_239	1
http://biaslens.com/article_240	2
http://biaslens.com/article_241	2
http://biaslens.com/article_242	0
http://biaslens.com/article_243	2
http://biaslens.com/article_244	0
http://biaslens.com/article_245	2
http://biaslens.com/article_246	2
http://biaslens.com/article_247	1
http://biaslens.com/article_248	2
http://biaslens.com/article_249	0
http://biaslens.com/article_250	2
http://biaslens.com/article_251	1
http://biaslens.com/article_252	1
http://biaslens.com/article_253	0
http://biaslens.com/article_254	2
http://biaslens.com/article_255	2
http://biaslens.com/article_256	1
http://biaslens.com/article_257	2
http://biaslens.com/article_258	1
http://biaslens.com/article_259	1
http://biaslens.com/article_260	2
http://biaslens.com/article_261	1
http://biaslens.com/article_262	1
http://biaslens.com/article_263	1
http://biaslens.com/article_264	0
http://biaslens.com/article_265	2
http://biaslens.com/article_266	2
http://biaslens.com/article_267	2
http://biaslens.com/article_268	1
http://biaslens.com/article_269	0
http://biaslens.com/article_270	2
http://biaslens.com/article_271	1
http://biaslens.com/article_272	0
http://biaslens.com/article_273	0
http://biaslens.com/article_274	1
http://biaslens.com/article_275	0
http://biaslens.com/article_276	2
http://biaslens.com/article_277	2
http://biaslens.com/article_278	2
http://biaslens.com/article_279	1
http://biaslens.com/article_280	2
http://biaslens.com/article_281	1
http://biaslens.com/article_282	1
http://biaslens.com/article_283	2
http://biaslens.com/article_284	2
http://biaslens.com/article_285	2
http://biaslens.com/article_286	2
http://biaslens.com/article_287	2
http://biaslens.com/article_288	1
http://biaslens.com/article_289	0
http://biaslens.com/article_290	1
http://biaslens.com/article_291	1
http://biaslens.com/article_292	2
http://biaslens.com/article_293	0
http://biaslens.com/article_294	1
http://biaslens.com/article_295	2
http://biaslens.com/article_296	0
http://biaslens.com/article_297	1
http://biaslens.com/article_298	2
http://biaslens.com/article_299	0
http://biaslens.com/article_300	0
http://biaslens.com/article_301	1
http://biaslens.com/article_302	1
http://biaslens.com/article_303	2
http://biaslens.com/article_304	1
http://biaslens.com/article_305	0
http://biaslens.com/article_306	0
http://biaslens.com/article_307	0
http://biaslens.com/article_308	1
http://biaslens.com/article_309	1
http://biaslens.com/article_310	0
http://biaslens.com/article_311	0
http://biaslens.com/article_312	1
http://biaslens.com/article_313	0
http://biaslens.com/article_314	2
http://biaslens.com/article_315	0
http://biaslens.com/article_316	0
http://biaslens.com/article_317	0
http://biaslens.com/article_318	1
http://biaslens.com/article_319	0
http://biaslens.com/article_320	1
http://biaslens.com/article_321	0
http://biaslens.com/article_322	2
http://biaslens.com/article_323	1
http://biaslens.com/article_324	2
http://biaslens.com/article_325	2
http://biaslens.com/article_326	2
http://biaslens.com/article_327	2
http://biaslens.com/article_328	1
http://biaslens.com/article_329	2
http://biaslens.com/article_330	2
http://biaslens.com/article_331	1
http://biaslens.com/article_332	1
http://biaslens.com/article_333	1
http://biaslens.com/article_334	0
http://biaslens.com/article_335	2
